V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
-0.745843431,-0.089194829,-0.349035011,-0.119200917,0.980639616,-0.665633327,0.5211471,0.355458064,0.914268524,0.507367789,0.862983851,-0.365874645,0.441583513,-0.428876937,0.495541354,-0.452233249,-0.145198056,0.308555921,-1.580600521,0.435051866,-0.880218966,-0.036058234,0.215537158,-1.109063863,-0.290442674,0.023363687,-0.624618194,0.011615414,0.977251377,0.127199088,0.291534952,0.516064169,0.419685612,-0.028786665,-0.54448616,0.097864598,0.891521075,-1.320998676,-0.808046627,0.937878795,-0.779979762,0.057889025,0.145879766,0.245279841,-0.066099988,-0.023515188,0.22770827,-0.403580206,0.22973716,0.202111855
0.342929319,-1.775213288,-0.349035011,0.150871772,0.385185497,0.703139982,0.907434487,0.846338697,0.5001407,0.712221159,0.768421868,1.150769882,0.709086998,0.867925238,0.991447082,0.43861083,-0.145198056,0.637186861,0.739679231,1.23246945,1.3863301,0.715752152,0.924792556,-1.109063863,-0.562412816,-0.515806994,0.657333918,0.635161741,1.316197984,1.239483889,0.946212183,1.019328753,0.674080987,1.205332817,0.459106845,0.234453414,0.709676281,0.721346012,0.308686941,1.010413798,0.993027209,0.354307601,0.793725865,0.624658293,1.057497737,-0.486118059,0.121993385,0.78206437,0.264754353,0.944357783
-0.745843431,0.02824905,1.677451457,-0.037894164,0.385185497,0.894890892,1.587705891,0.670573038,0.124188386,0.937244353,1.214067216,1.252730376,0.997594865,1.865289967,1.87711282,0.820093932,1.069149344,1.043015142,0.986766717,1.194913006,1.3863301,-0.476641195,1.249727026,2.135338338,-0.032981027,-0.76262715,0.565004786,1.142284453,1.376798242,1.426424674,0.663713176,1.379959622,-0.189115484,0.893046226,-0.052330485,0.418617953,1.808086695,1.015934318,1.230821842,0.956470304,-0.107747927,-0.259639189,0.602450046,1.336099075,1.114241334,0.377808289,0.400535949,0.831557871,0.833373317,0.743393108
-0.745843431,-0.154327381,-0.349035011,0.463326129,0.24742433,-0.193931896,0.68176994,0.670573038,0.246225782,-0.272818951,0.081830664,1.150769882,-0.138552483,-0.052206613,0.657772738,0.244230988,-0.557557353,0.637186861,0.727785396,-0.984313206,0.809800646,-0.851061985,0.252136964,-1.109063863,-0.290442674,-0.515806994,-0.048024131,0.97486499,1.056335749,-0.644829178,1.023014393,0.856733625,0.929341645,0.921642443,1.107621011,-0.133446237,1.052003752,-0.014513544,0.755003079,0.449213701,-1.224318504,-0.201361687,-0.552979898,0.334341559,0.124684483,1.066783921,0.705481633,0.498996664,0.902658089,0.773700542
-0.745843431,-0.696652457,-0.349035011,1.180833979,-2.096574125,0.601474248,0.978732862,1.790208108,0.322843756,-0.071493656,0.949336038,1.609993559,0.849576643,1.16823464,0.679149797,0.845801288,-0.145198056,0.902179527,1.251110667,-0.984313206,1.128543735,-0.079692878,0.900645918,0.785100532,-1.201895435,0.922688349,0.328248034,1.542842007,1.249600232,0.863739486,0.503967892,1.361760419,1.417549443,1.464635228,0.803044796,1.276642308,1.283616939,0.478663439,0.09239933,1.126775086,0.618399224,0.192815131,0.793725865,1.87942179,2.087008241,0.933851055,-0.002692474,0.212921944,1.132276679,1.409015872
0.342929319,-0.301009627,-0.349035011,1.395150016,-2.096574125,1.025528043,1.481575232,1.566353668,1.134377897,0.140481306,0.768421868,1.763855084,1.12349769,1.288914827,1.209472895,1.705819471,-2.08671428,0.495197794,1.365424142,0.368308789,2.638566812,0.822551986,1.91744292,0.871357355,-0.986146381,0.972077713,0.395999711,1.365573921,1.175686151,1.512566709,0.997774597,1.397858494,1.508039556,1.444625638,0.678477372,1.88710453,1.14940314,0.567465032,-0.44884599,1.173075369,0.242814731,-0.091730492,1.167616832,1.635711726,1.933144215,1.02440659,0.598956626,1.131017105,1.112802983,1.525568839
-0.745843431,0.385414233,-0.349035011,1.02958703,-0.174878313,0.223253237,0.11865761,2.166710451,0.598044149,1.370928964,0.699989127,1.732718357,0.969994259,-0.221957054,-0.531001914,-0.186899619,-2.08671428,1.470860011,1.090079575,-0.984313206,0.231790293,0.277457063,0.579030142,-1.109063863,-0.562412816,1.262742501,-0.371533258,0.913785765,1.483745194,1.408647875,1.633929068,1.531316571,0.89331702,1.296728761,-0.54448616,1.5994,1.052003752,-3.363343365,-0.808046627,-0.165602891,0.509879198,-0.259639189,0.145879766,0.037108712,1.08617728,0.599287693,0.95238019,0.433530761,1.314190469,0.616050142
-0.745843431,0.179537113,-0.349035011,1.246409898,-0.583027945,0.819069535,1.320850213,1.541808186,1.287341042,0.082157919,0.366512652,2.025453173,0.200381678,1.210191532,1.669334455,0.407425607,-2.08671428,0.614517953,1.266949755,-0.984313206,1.612049303,0.89842982,1.968817199,-1.109063863,-2.001423177,0.145314085,0.457349726,1.857131344,1.328762163,0.936516064,0.632873861,1.138378721,0.814474808,1.108139384,0.374631037,1.175150503,1.240325872,0.788978662,0.483091186,0.918964501,0.161860269,0.149294308,-0.116820104,0.983965524,1.220836749,1.02440659,1.256342319,0.924888802,1.296965521,1.892115019
2.615542395,-0.696652457,-0.349035011,0.986802105,0.070950985,1.682479855,0.758999352,1.705020267,0.396062898,1.890791861,1.405694267,0.918887502,0.969994259,2.235193402,0.002892421,0.90873936,1.531209184,0.825948894,0.032437629,1.112464334,0.863995868,0.347496387,0.94858719,1.469203861,-0.032981027,0.023363687,0.657333918,0.635161741,0.373702437,1.219580631,1.072460433,0.432908748,1.479288015,0.977282412,-0.54448616,0.949050873,1.325579847,0.647876016,0.583093594,0.560762308,0.161860269,-0.67321923,1.656345778,0.624658293,1.114241334,1.184100572,0.916842816,0.039954609,0.489246806,0.743393108
-0.745843431,-0.831062029,-0.349035011,-0.215098505,-0.174878313,0.819069535,0.362779434,-0.318232833,0.833855501,0.712221159,0.768421868,-0.365874645,0.26744097,0.925055231,0.740945533,0.227199466,0.971599574,-0.759780472,0.204659072,0.550708464,0.256821154,-0.533545359,0.637228213,0.545265933,0.577440526,-0.634821537,0.328248034,-0.325675918,-0.038779362,-1.142023408,-0.679825581,-0.272389076,1.251732651,0.301596774,-1.074104729,0.58272267,0.252012142,0.647876016,-0.808046627,0.798015731,-0.829445805,-1.039648469,-0.116820104,-0.605199156,-0.210748359,1.02440659,0.319469944,0.039954609,-0.373309991,-0.185066826
