seed,est0,est1,est2,est3,est4,est5,est6,est7,est8,est9,hasMet,tau,nStep,nXstep,timeTaken
45,0.595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.36
245,0.69,0.98,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.55
445,-10.385,-10.995,0.89,0.975,0.995,1.0,1.0,1.0,1.0,1.0,True,81,161,81,7.74
46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
446,0.655,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.47
47,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.35
247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
447,0.795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.54
48,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.31
248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.03
448,0.38,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.42
49,0.695,0.975,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.51
249,-0.03,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,9,17,9,0.88
449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
250,0.595,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.55
450,,,,,,,,,,,False,-1,6705,3353,400.04
51,-0.11,0.625,0.895,0.97,1.0,1.0,1.0,1.0,1.0,1.0,True,13,25,13,1.51
251,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2,3,2,0.13
451,0.765,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.55
52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
452,0.525,1.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.58
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
